Whichyear,ExpressFeeling,Gender,Age,Yourlocation,Relationshipstatus,Areyouhappyinancialy,succeededInEducationalinstitution,Understandingwithfamily,feelingpressureinyourstudy,satisfiedwithacademicresult,happywithlivingplace,supportsyouyouracademiclife,usedanysocialmedia,haveinferioritycomplex,satisfiedwithmeal,feelingSick/healt issues,donerecreationalactivitytoday,sleepAtNight,feelingrightnow
4th year,100,Male,22,Home,Single,Yes,5,Good,Yes,Yes,Yes,Family,Not applicable,No,Yes,Yes,Yes,8,Very good
4th year,51,Male,23,Home,Single,No,3,Normal,Yes,Yes,Yes,Family,Yes,Maybe,Neutral,No,Yes,8,Normal
4th year,87,Male,23,Playground,Single,Yes,4,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,7,Good
4th year,37,Male,23,Home,Single,Yes,1,Normal,Yes,Yes,No,Family,Yes,Maybe,Neutral,Yes,Yes,5,Bad
4th year,56,Male,23,Hall-Mess,Single,No,4,Normal,Yes,No,No,Family,Yes,No,Neutral,No,No,7,Normal
4th year,42,Male,23,Hall-Mess,Single,No,2,Bad,Yes,Yes,No,Family,Yes,Maybe,Yes,Yes,Yes,5,Bad
4th year,65,Male,23,Department,Single,Yes,4,Normal,Yes,No,No,Friends,Yes,Maybe,Neutral,No,Yes,6,Normal
4th year,94,Male,23,Department,Single,Yes,3,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,10,Very good
4th year,56,Male,23,Department,Single,No,3,Good,Yes,No,Yes,Friends,Yes,No,Neutral,Yes,Yes,7,Normal
4th year,90,Male,23,Playground,Single,Yes,5,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,7,Very good
4th year,63,Male,23,Hall-Mess,Single,No,4,Normal,No,No,No,Family,Yes,No,Yes,Yes,Yes,7,Normal
4th year,96,Male,23,Home,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Neutral,No,No,9,Very good
4th year,53,Male,23,Home,Single,Yes,3,Good,Yes,No,No,Friends,Yes,No,Neutral,Yes,Yes,7,Normal
4th year,71,Male,23,Department,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,10,Good
4th year,9,Male,23,Home,Single,No,3,Bad,Yes,No,Yes,Friends,Yes,No,Yes,Yes,No,4,Very bad
4th year,62,Male,23,Hall-Mess,Single,No,4,Good,No,Yes,No,Family,Yes,Maybe,Neutral,No,No,6,Normal
4th year,13,Male,23,Home,Single,No,2,Normal,Yes,Yes,Yes,Friends,Yes,Yes,Yes,Yes,No,5,Very bad
4th year,94,Male,23,Home,Single,Yes,5,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,10,Very good
4th year,17,Male,23,Home,Single,No,1,Bad,Yes,Yes,Yes,Family,Yes,Yes,No,Yes,Yes,7,Very bad
4th year,100,Male,23,Hall-Mess,Single,Yes,3,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,No,7,Very good
4th year,58,Male,23,Playground,Single,No,5,Good,Yes,Yes,Yes,Friends,Yes,No,Neutral,No,No,8,Normal
4th year,77,Male,23,Playground,Single,Yes,4,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,No,8,Good
4th year,20,Male,23,Hall-Mess,Single,Yes,3,Good,Yes,No,Yes,Friends,Yes,Yes,Yes,Yes,No,6,Bad
4th year,43,Male,23,Playground,Single,No,3,Normal,Yes,Yes,No,Family,Yes,Yes,Yes,No,Yes,6,Bad
4th year,59,Male,23,Home,Single,Yes,3,Good,Yes,Yes,No,Friends,Yes,Maybe,Neutral,No,Yes,7,Normal
4th year,5,Male,23,Home,Single,Yes,2,Normal,Yes,Yes,Yes,Family,Yes,Yes,Neutral,No,Yes,5,Very bad
4th year,63,Male,23,Home,Single,Yes,3,Normal,Yes,Yes,Yes,Friends,Yes,No,Neutral,Yes,No,8,Normal
4th year,1,Male,23,Home,Single,Yes,2,Bad,Yes,No,No,Friends,Yes,No,No,No,Yes,7,Very bad
4th year,59,Male,23,Playground,Single,No,4,Normal,No,No,No,Friends,Yes,No,Neutral,Yes,Yes,7,Normal
4th year,17,Male,23,Department,Single,Yes,1,Bad,Yes,Yes,No,Friends,Yes,Yes,No,No,No,4,Very bad
4th year,54,Male,23,Department,Single,Yes,3,Normal,Yes,Yes,No,Family,Yes,No,Yes,Yes,Yes,8,Normal
4th year,72,Male,23,Home,Single,Yes,5,Good,No,No,Yes,Family,Yes,No,Neutral,No,No,10,Good
4th year,49,Male,23,Department,Single,Yes,1,Good,Yes,Yes,No,Family,Yes,No,Yes,Yes,No,4,Bad
4th year,69,Male,23,Playground,Single,Yes,4,Normal,No,No,No,Family,Yes,No,Neutral,No,No,7,Normal
4th year,8,Male,23,Department,Single,No,1,Good,Yes,Yes,Yes,Family,Yes,No,Neutral,Yes,No,7,Very bad
4th year,39,Male,23,Hall-Mess,Single,Yes,3,Normal,Yes,No,Yes,Family,Yes,Yes,Neutral,No,Yes,5,Bad
4th year,7,Male,23,Hall-Mess,Single,Yes,1,Good,Yes,Yes,No,Friends,Yes,No,No,Yes,Yes,5,Very bad
4th year,39,Male,23,Department,Single,Yes,2,Good,Yes,Yes,Yes,Family,Yes,Yes,No,No,Yes,3,Bad
4th year,25,Male,23,Department,Single,Yes,3,Normal,Yes,No,Yes,Family,Yes,Maybe,No,No,No,4,Bad
4th year,48,Male,23,Playground,Single,Yes,1,Good,Yes,No,No,Family,Yes,Maybe,No,Yes,No,5,Bad
4th year,56,Male,23,Hall-Mess,Single,No,5,Normal,No,Yes,No,Family,Yes,No,Yes,Yes,No,7,Normal
4th year,53,Male,23,Home,Single,No,4,Good,No,No,No,Friends,Yes,No,Yes,Yes,No,6,Normal
4th year,54,Male,23,Home,Single,No,4,Normal,Yes,No,Yes,Family,Yes,Maybe,Neutral,No,Yes,8,Normal
4th year,25,Male,23,Department,Single,No,3,Bad,Yes,Yes,No,Friends,Yes,Yes,No,No,No,4,Bad
4th year,78,Male,23,Department,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,7,Good
4th year,57,Male,23,Playground,Single,No,4,Normal,No,No,No,Family,Yes,No,Neutral,Yes,Yes,7,Normal
4th year,2,Male,23,Department,Single,No,3,Bad,Yes,No,No,Friends,Yes,No,Neutral,Yes,Yes,6,Very bad
4th year,100,Male,23,Home,Single,Yes,3,Good,No,Yes,Yes,Family,Yes,No,Yes,No,No,10,Very good
4th year,10,Male,23,Playground,Single,Yes,2,Bad,Yes,Yes,No,Friends,Yes,Yes,Yes,No,No,3,Very bad
4th year,87,Male,23,Hall-Mess,Single,Yes,3,Good,No,No,Yes,Family,Yes,No,Neutral,No,Yes,7,Good
4th year,84,Male,23,Hall-Mess,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,10,Good
4th year,3,Male,23,Home,Single,Yes,1,Good,Yes,No,No,Family,Yes,Maybe,Yes,Yes,No,7,Very bad
4th year,56,Male,23,Department,Single,No,4,Good,No,No,No,Friends,Yes,No,Neutral,Yes,Yes,7,Normal
4th year,76,Male,23,Department,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Neutral,No,No,7,Good
4th year,77,Male,23,Home,Single,Yes,4,Good,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,10,Good
4th year,13,Male,23,Home,Single,Yes,2,Good,Yes,Yes,Yes,Family,Yes,Yes,Yes,No,No,6,Very bad
4th year,46,Male,23,Hall-Mess,Single,No,1,Good,Yes,No,No,Family,Yes,Maybe,No,No,No,7,Bad
4th year,75,Male,23,Hall-Mess,Single,Yes,5,Normal,No,Yes,Yes,Friends,Yes,No,Yes,No,No,9,Good
4th year,98,Male,23,Home,Single,Yes,3,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,7,Very good
4th year,64,Male,23,Playground,Single,Yes,3,Good,No,Yes,No,Friends,Yes,No,Yes,No,No,8,Normal
4th year,23,Male,23,Home,Single,Yes,1,Normal,Yes,No,No,Family,Yes,Yes,Neutral,Yes,Yes,6,Bad
4th year,95,Male,23,Department,Single,Yes,4,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,8,Very good
4th year,16,Male,23,Playground,Single,No,3,Good,Yes,Yes,No,Friends,Yes,Maybe,Neutral,Yes,Yes,4,Very bad
4th year,16,Male,23,Playground,Single,No,2,Normal,Yes,Yes,Yes,Friends,Yes,No,Yes,No,Yes,7,Very bad
4th year,8,Male,23,Department,Single,Yes,2,Good,Yes,No,No,Family,Yes,No,No,Yes,No,3,Very bad
4th year,62,Male,23,Hall-Mess,Single,Yes,3,Normal,No,No,No,Family,Yes,Maybe,Neutral,No,Yes,7,Normal
4th year,5,Male,23,Department,Single,No,2,Bad,Yes,No,Yes,Friends,Yes,Yes,No,Yes,No,6,Very bad
4th year,100,Male,23,Hall-Mess,Single,Yes,5,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,9,Very good
4th year,33,Male,23,Hall-Mess,Single,No,3,Normal,Yes,Yes,No,Friends,Yes,No,No,No,Yes,4,Bad
4th year,93,Male,23,Playground,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Yes,No,No,10,Very good
4th year,25,Male,23,Hall-Mess,Single,Yes,2,Normal,Yes,Yes,Yes,Family,Yes,No,Yes,Yes,Yes,4,Bad
4th year,17,Male,23,Playground,Single,No,2,Bad,Yes,No,No,Family,Yes,Maybe,Yes,Yes,Yes,7,Very bad
4th year,72,Male,23,Home,Single,Yes,3,Normal,No,Yes,Yes,Family,Yes,No,Neutral,No,No,8,Good
4th year,73,Male,23,Playground,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Yes,No,Yes,7,Good
4th year,23,Male,23,Playground,Single,No,1,Normal,Yes,Yes,No,Family,Yes,No,Neutral,Yes,No,3,Bad
4th year,86,Male,23,Home,Single,Yes,4,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,No,9,Good
4th year,58,Male,23,Playground,Single,Yes,4,Normal,Yes,Yes,No,Family,Yes,No,Yes,No,No,8,Normal
4th year,100,Male,23,Department,Single,Yes,4,Normal,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,8,Very good
4th year,2,Male,23,Home,Single,Yes,2,Normal,Yes,Yes,Yes,Family,Yes,Maybe,Yes,No,Yes,5,Very bad
4th year,17,Male,23,Playground,Single,Yes,2,Bad,Yes,No,No,Family,Yes,Yes,Yes,Yes,No,5,Very bad
4th year,7,Male,23,Playground,Single,No,3,Good,Yes,Yes,Yes,Family,Yes,Maybe,Neutral,Yes,Yes,6,Very bad
4th year,79,Male,23,Home,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Neutral,No,No,9,Good
4th year,94,Male,23,Department,Single,Yes,5,Good,No,Yes,Yes,Family,Yes,No,Neutral,No,Yes,7,Very good
4th year,65,Male,23,Hall-Mess,Single,Yes,5,Good,Yes,No,Yes,Family,Yes,No,Yes,No,Yes,7,Normal
4th year,97,Male,23,Hall-Mess,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,No,9,Very good
4th year,24,Male,23,Hall-Mess,Single,Yes,3,Bad,Yes,No,No,Family,Yes,No,No,Yes,No,3,Bad
4th year,84,Male,23,Hall-Mess,Single,Yes,4,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,10,Good
4th year,93,Male,23,Department,Single,Yes,4,Good,No,No,Yes,Family,Yes,No,Neutral,No,Yes,7,Very good
4th year,73,Male,23,Department,Single,Yes,5,Normal,No,Yes,Yes,Family,Yes,No,Yes,No,Yes,9,Good
4th year,29,Male,23,Department,Single,Yes,1,Normal,Yes,No,Yes,Family,Yes,Yes,No,Yes,No,3,Bad
4th year,92,Male,23,Department,Single,Yes,3,Good,No,No,Yes,Family,Yes,No,Neutral,No,Yes,9,Very good
4th year,65,Male,23,Hall-Mess,Single,Yes,4,Normal,Yes,Yes,No,Family,Yes,Maybe,Neutral,Yes,No,6,Normal
4th year,76,Male,23,Playground,Single,Yes,3,Normal,No,No,Yes,Friends,Yes,No,Neutral,No,Yes,8,Good
4th year,86,Male,23,Department,Single,Yes,5,Normal,No,No,Yes,Family,Yes,No,Neutral,No,No,10,Good
4th year,14,Male,23,Playground,Single,Yes,3,Good,Yes,Yes,Yes,Friends,Yes,Maybe,No,No,Yes,3,Very bad
4th year,60,Male,23,Home,Single,No,4,Normal,No,Yes,Yes,Family,Yes,Maybe,Yes,Yes,No,8,Normal
4th year,64,Male,23,Hall-Mess,Single,Yes,4,Good,Yes,Yes,Yes,Friends,Yes,Maybe,Yes,No,No,6,Normal
4th year,49,Male,23,Department,Single,No,3,Bad,Yes,Yes,No,Friends,Yes,Yes,Yes,No,No,5,Bad
4th year,41,Male,23,Department,Single,Yes,3,Good,Yes,Yes,Yes,Family,Yes,Maybe,Neutral,Yes,No,4,Bad
4th year,91,Male,23,Department,Single,Yes,3,Good,No,Yes,Yes,Friends,Yes,No,Neutral,No,Yes,10,Very good
4th year,56,Male,23,Home,Single,Yes,5,Normal,Yes,No,No,Family,Yes,No,Yes,No,No,6,Normal
4th year,20,Male,23,Playground,Single,No,3,Good,Yes,Yes,No,Family,Yes,Yes,Yes,No,No,7,Bad
4th year,68,Male,23,Home,Single,No,3,Normal,No,No,Yes,Family,Yes,Maybe,Yes,Yes,No,7,Normal
4th year,8,Male,23,Playground,Single,No,2,Normal,Yes,Yes,Yes,Family,Yes,Maybe,No,No,Yes,3,Very bad
4th year,70,Male,23,Department,Single,Yes,5,Normal,Yes,No,Yes,Family,Yes,No,Yes,No,Yes,7,Normal
4th year,97,Male,23,Playground,Single,Yes,4,Normal,No,No,Yes,Family,Yes,No,Yes,No,Yes,10,Very good
4th year,65,Male,23,Playground,Single,Yes,5,Normal,No,Yes,No,Friends,Yes,Maybe,Neutral,Yes,No,6,Normal
4th year,73,Male,23,Home,Single,Yes,5,Normal,No,Yes,Yes,Friends,Yes,No,Yes,No,No,9,Good
4th year,45,Male,23,Department,Single,No,2,Normal,Yes,Yes,No,Family,Yes,Maybe,Neutral,No,No,5,Bad
4th year,16,Male,23,Home,Single,No,1,Normal,Yes,Yes,Yes,Family,Yes,Maybe,No,No,Yes,3,Very bad
4th year,99,Male,23,Hall-Mess,Single,Yes,4,Good,No,No,Yes,Friends,Yes,No,Neutral,No,No,10,Very good
4th year,14,Male,23,Home,Single,Yes,3,Good,Yes,Yes,No,Family,Yes,No,Neutral,No,Yes,3,Very bad
4th year,71,Male,23,Department,Single,Yes,5,Normal,No,No,Yes,Family,Yes,No,Neutral,No,Yes,10,Good
